distribution,n,budget,eta,exact,greedy,beam,balanced,weighted,greedy_absolute_objective_gap,beam_absolute_objective_gap,greedy_relative_objective_gap,beam_relative_objective_gap
zipf,24,1,0.15,4.388187,4.388187,4.388187,5.000000,4.761904,0.000000,0.000000,0.000000,0.000000
zipf,24,1,0.30,4.496154,4.496154,4.496154,5.000000,4.980391,0.000000,0.000000,0.000000,0.000000
zipf,24,2,0.00,4.008705,4.205500,4.008705,5.000000,4.279739,0.196795,0.000000,0.049092,0.000000
zipf,24,2,0.15,4.307399,4.324675,4.307399,5.000000,4.537778,0.017276,0.000000,0.004011,0.000000
zipf,24,2,0.30,4.443850,4.443850,4.443850,5.000000,4.795817,0.000000,0.000000,0.000000,0.000000
zipf,24,3,0.00,3.933984,4.205500,3.933984,5.000000,4.014905,0.271516,0.000000,0.069018,0.000000
zipf,24,3,0.15,4.193361,4.324675,4.193361,5.000000,4.312669,0.131313,0.000000,0.031315,0.000000
zipf,24,3,0.30,4.335709,4.443850,4.335709,5.000000,4.610434,0.108140,0.000000,0.024942,0.000000
zipf,24,4,0.00,3.895730,4.205500,3.898357,5.000000,3.895730,0.309770,0.002627,0.079515,0.000674
zipf,24,4,0.15,4.193361,4.324675,4.193361,5.000000,4.211371,0.131313,0.000000,0.031315,0.000000
zipf,24,4,0.30,4.335709,4.443850,4.335709,5.000000,4.527011,0.108140,0.000000,0.024942,0.000000
hot_middle,8,1,0.00,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,8,1,0.15,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,8,1,0.30,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,8,2,0.00,2.730769,3.000000,2.730769,3.000000,2.730769,0.269231,0.000000,0.098592,0.000000
hot_middle,8,2,0.15,2.921154,3.000000,2.921154,3.000000,2.921154,0.078846,0.000000,0.026991,0.000000
hot_middle,8,2,0.30,3.000000,3.000000,3.000000,3.000000,3.111538,0.000000,0.000000,0.000000,0.000000
hot_middle,8,3,0.00,2.461538,3.000000,2.461538,3.000000,2.461538,0.538462,0.000000,0.218750,0.000000
hot_middle,8,3,0.15,2.692308,3.000000,2.692308,3.000000,2.692308,0.307692,0.000000,0.114286,0.000000
hot_middle,8,3,0.30,2.923077,3.000000,2.923077,3.000000,2.923077,0.076923,0.000000,0.026316,0.000000
hot_middle,8,4,0.00,2.423077,3.000000,2.423077,3.000000,2.461538,0.576923,0.000000,0.238095,0.000000
hot_middle,8,4,0.15,2.659615,3.000000,2.659615,3.000000,2.692308,0.340385,0.000000,0.127983,0.000000
hot_middle,8,4,0.30,2.896154,3.000000,2.896154,3.000000,2.923077,0.103846,0.000000,0.035857,0.000000
hot_middle,12,1,0.00,3.916667,3.916667,3.916667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,12,1,0.15,3.929167,3.929167,3.929167,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,12,1,0.30,3.941667,3.941667,3.941667,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,12,2,0.00,3.583333,3.916667,3.583333,4.000000,3.875000,0.333333,0.000000,0.093023,0.000000
hot_middle,12,2,0.15,3.645833,3.929167,3.645833,4.000000,4.043750,0.283333,0.000000,0.077714,0.000000
hot_middle,12,2,0.30,3.708333,3.941667,3.708333,4.000000,4.212500,0.233333,0.000000,0.062921,0.000000
hot_middle,12,3,0.00,3.166667,3.916667,3.166667,4.000000,3.750000,0.750000,0.000000,0.236842,0.000000
hot_middle,12,3,0.15,3.291667,3.929167,3.291667,4.000000,3.937500,0.637500,0.000000,0.193671,0.000000
hot_middle,12,3,0.30,3.416667,3.941667,3.416667,4.000000,4.125000,0.525000,0.000000,0.153659,0.000000
hot_middle,12,4,0.00,3.041667,3.916667,3.041667,3.979167,3.333333,0.875000,0.000000,0.287671,0.000000
