mode,workload,backend,n,operations,repeat,ns_per_operation,build_ns,checksum,blocks
full,R,sqlite_btree,512,5000,14,1088.241600,225708,111323771.000000,0
full,R,sqlite_btree,512,5000,15,1137.908400,174208,111323771.000000,0
full,R,sqlite_btree,512,5000,16,1240.891600,172084,111323771.000000,0
full,R,sqlite_btree,512,5000,17,1177.233400,223209,111323771.000000,0
full,R,sqlite_btree,512,5000,18,1216.550000,199833,111323771.000000,0
full,R,sqlite_btree,512,5000,19,1090.358200,188750,111323771.000000,0
full,R,sqlite_btree,512,5000,20,1104.916600,158375,111323771.000000,0
full,R,sqlite_btree,512,5000,21,1114.266800,170083,111323771.000000,0
full,R,sqlite_btree,512,5000,22,1158.608400,164625,111323771.000000,0
full,R,sqlite_btree,512,5000,23,1127.158400,185542,111323771.000000,0
full,R,sqlite_btree,512,5000,24,1218.766600,287958,111323771.000000,0
full,R,fenwick,512,5000,0,250.958200,150083,111323771.000000,0
full,R,fenwick,512,5000,1,291.208400,148959,111323771.000000,0
full,R,fenwick,512,5000,2,311.300000,178417,111323771.000000,0
full,R,fenwick,512,5000,3,312.041800,177125,111323771.000000,0
full,R,fenwick,512,5000,4,268.500000,177750,111323771.000000,0
full,R,fenwick,512,5000,5,258.000000,147709,111323771.000000,0
full,R,fenwick,512,5000,6,257.958400,146292,111323771.000000,0
full,R,fenwick,512,5000,7,286.475000,146125,111323771.000000,0
full,R,fenwick,512,5000,8,293.000000,166125,111323771.000000,0
full,R,fenwick,512,5000,9,293.300000,173083,111323771.000000,0
full,R,fenwick,512,5000,10,281.525000,170459,111323771.000000,0
full,R,fenwick,512,5000,11,248.125000,144125,111323771.000000,0
full,R,fenwick,512,5000,12,248.158200,142500,111323771.000000,0
full,R,fenwick,512,5000,13,246.450000,142250,111323771.000000,0
full,R,fenwick,512,5000,14,341.083200,142500,111323771.000000,0
full,R,fenwick,512,5000,15,367.225000,212375,111323771.000000,0
full,R,fenwick,512,5000,16,342.950000,211875,111323771.000000,0
full,R,fenwick,512,5000,17,245.116600,141041,111323771.000000,0
full,R,fenwick,512,5000,18,244.033400,150667,111323771.000000,0
full,R,fenwick,512,5000,19,257.091600,140792,111323771.000000,0
full,R,fenwick,512,5000,20,418.266600,168625,111323771.000000,0
full,R,fenwick,512,5000,21,407.466800,233708,111323771.000000,0
full,R,fenwick,512,5000,22,309.683200,232917,111323771.000000,0
full,R,fenwick,512,5000,23,248.858400,141208,111323771.000000,0
full,R,fenwick,512,5000,24,247.083200,143875,111323771.000000,0
full,R,certigap_h,512,5000,0,257.533400,53875,111323771.000000,8
full,R,certigap_h,512,5000,1,251.458400,40500,111323771.000000,8
full,R,certigap_h,512,5000,2,251.091600,40125,111323771.000000,8
full,R,certigap_h,512,5000,3,284.891600,36958,111323771.000000,8
full,R,certigap_h,512,5000,4,284.350000,49208,111323771.000000,8
full,R,certigap_h,512,5000,5,286.783400,43250,111323771.000000,8
full,R,certigap_h,512,5000,6,293.083400,42583,111323771.000000,8
full,R,certigap_h,512,5000,7,298.275000,44084,111323771.000000,8
full,R,certigap_h,512,5000,8,302.416600,46209,111323771.000000,8
full,R,certigap_h,512,5000,9,306.791600,44291,111323771.000000,8
full,R,certigap_h,512,5000,10,303.250000,43250,111323771.000000,8
full,R,certigap_h,512,5000,11,307.758400,42875,111323771.000000,8
full,R,certigap_h,512,5000,12,302.450000,43250,111323771.000000,8
full,R,certigap_h,512,5000,13,254.941600,37167,111323771.000000,8
full,R,certigap_h,512,5000,14,254.225000,35250,111323771.000000,8
full,R,certigap_h,512,5000,15,252.408400,36209,111323771.000000,8
full,R,certigap_h,512,5000,16,260.475000,38583,111323771.000000,8
