distribution,n,budget,eta,solver,objective,average_cost,max_cost,time_ms,quality_gap_vs_exact
zipf,8,3,0.00,balanced,3.000000,3.000000,3.000000,0.008625,0.318441
zipf,8,3,0.00,weighted,2.681559,2.681559,4.000000,0.012375,0.000000
zipf,8,3,0.15,exact,2.879325,2.681559,4.000000,0.466792,0.000000
zipf,8,3,0.15,beam,2.879325,2.681559,4.000000,1.266208,0.000000
zipf,8,3,0.15,greedy,3.000000,3.000000,3.000000,0.038167,0.120675
zipf,8,3,0.15,balanced,3.000000,3.000000,3.000000,0.008375,0.120675
zipf,8,3,0.15,weighted,2.879325,2.681559,4.000000,0.012042,0.000000
zipf,8,3,0.30,exact,3.000000,3.000000,3.000000,0.468041,0.000000
zipf,8,3,0.30,beam,3.000000,3.000000,3.000000,1.249458,0.000000
zipf,8,3,0.30,greedy,3.000000,3.000000,3.000000,0.038459,0.000000
zipf,8,3,0.30,balanced,3.000000,3.000000,3.000000,0.008667,0.000000
zipf,8,3,0.30,weighted,3.077092,2.681559,4.000000,0.011792,0.077092
zipf,8,4,0.00,exact,2.681559,2.681559,4.000000,0.921667,0.000000
zipf,8,4,0.00,beam,2.681559,2.681559,4.000000,2.063084,0.000000
zipf,8,4,0.00,greedy,2.896189,2.896189,4.000000,0.080375,0.214630
zipf,8,4,0.00,balanced,3.000000,3.000000,3.000000,0.010584,0.318441
zipf,8,4,0.00,weighted,2.681559,2.681559,4.000000,0.011917,0.000000
zipf,8,4,0.15,exact,2.879325,2.681559,4.000000,0.892875,0.000000
zipf,8,4,0.15,beam,2.879325,2.681559,4.000000,2.082792,0.000000
zipf,8,4,0.15,greedy,3.000000,3.000000,3.000000,0.037875,0.120675
zipf,8,4,0.15,balanced,3.000000,3.000000,3.000000,0.010125,0.120675
zipf,8,4,0.15,weighted,2.879325,2.681559,4.000000,0.011916,0.000000
zipf,8,4,0.30,exact,3.000000,3.000000,3.000000,0.915791,0.000000
zipf,8,4,0.30,beam,3.000000,3.000000,3.000000,2.083667,0.000000
