distribution,n,budget,eta,candidate_limit,exact_objective,restricted_objective,beam_objective,candidate_pruning_gap,beam_truncation_gap,total_gap,decomposition_residual
uniform,20,4,0.0,8,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,4,0.0,16,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,4,0.0,32,4.4,4.4,4.4,0.0,0.0,0.0,0.0
uniform,20,4,0.15,4,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,4,0.15,8,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,4,0.15,16,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,4,0.15,32,4.49,4.49,4.49,0.0,0.0,0.0,0.0
uniform,20,4,0.3,4,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,4,0.3,8,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,4,0.3,16,4.58,4.58,4.58,0.0,0.0,0.0,0.0
uniform,20,4,0.3,32,4.58,4.58,4.58,0.0,0.0,0.0,0.0
zipf,12,2,0.0,4,3.173934271863847,3.173934271863847,3.173934271864,0.0,1.5276668818842154e-13,1.5276668818842154e-13,0.0
zipf,12,2,0.0,8,3.173934271863847,3.173934271863847,3.173934271864,0.0,1.5276668818842154e-13,1.5276668818842154e-13,0.0
zipf,12,2,0.0,16,3.173934271863847,3.173934271863847,3.173934271864,0.0,1.5276668818842154e-13,1.5276668818842154e-13,0.0
zipf,12,2,0.0,32,3.173934271863847,3.173934271863847,3.173934271864,0.0,1.5276668818842154e-13,1.5276668818842154e-13,0.0
zipf,12,2,0.15,4,3.429354459957452,3.429354459957452,3.429354459957,0.0,-4.5208281562736374e-13,-4.5208281562736374e-13,0.0
zipf,12,2,0.15,8,3.429354459957452,3.429354459957452,3.429354459957,0.0,-4.5208281562736374e-13,-4.5208281562736374e-13,0.0
zipf,12,2,0.15,16,3.429354459957452,3.429354459957452,3.429354459957,0.0,-4.5208281562736374e-13,-4.5208281562736374e-13,0.0
zipf,12,2,0.15,32,3.429354459957452,3.429354459957452,3.429354459957,0.0,-4.5208281562736374e-13,-4.5208281562736374e-13,0.0
zipf,12,2,0.3,4,3.530056614082608,3.530056614082608,3.530056614083,0.0,3.921307722976053e-13,3.921307722976053e-13,0.0
zipf,12,2,0.3,8,3.530056614082608,3.530056614082608,3.530056614083,0.0,3.921307722976053e-13,3.921307722976053e-13,0.0
zipf,12,2,0.3,16,3.530056614082608,3.530056614082608,3.530056614083,0.0,3.921307722976053e-13,3.921307722976053e-13,0.0
zipf,12,2,0.3,32,3.530056614082608,3.530056614082608,3.530056614083,0.0,3.921307722976053e-13,3.921307722976053e-13,0.0
zipf,12,3,0.0,4,3.1574382999500124,3.1574382999500124,3.15743829995,0.0,-1.2434497875801753e-14,-1.2434497875801753e-14,0.0
zipf,12,3,0.0,8,3.1574382999500124,3.1574382999500124,3.15743829995,0.0,-1.2434497875801753e-14,-1.2434497875801753e-14,0.0
