n,scenario,migration_cost_units,candidate,fixed_total_cost,ratio_to_tracking_wfa,memory_slots,height
64,stable_updates,32.0,sqrt_decomposition,896.000000000000,9.333333333333,72,1
64,stable_updates,32.0,segment_tree,704.000000000000,7.333333333333,128,6
64,stable_updates,32.0,certirange_point,704.000000000000,7.333333333333,191,6
64,stable_updates,32.0,certirange_range,704.000000000000,7.333333333333,191,6
64,mixed_read_heavy,2.0,sorted_array,1335.000000000000,8.396226415094,64,0
64,mixed_read_heavy,2.0,prefix_sum,473.000000000000,2.974842767296,129,1
64,mixed_read_heavy,2.0,fenwick,262.000000000000,1.647798742138,129,6
64,mixed_read_heavy,2.0,sqrt_decomposition,478.000000000000,3.006289308176,72,1
64,mixed_read_heavy,2.0,segment_tree,287.000000000000,1.805031446541,128,6
64,mixed_read_heavy,2.0,certirange_point,988.000000000000,6.213836477987,191,6
64,mixed_read_heavy,2.0,certirange_range,988.000000000000,6.213836477987,191,6
64,mixed_read_heavy,8.0,sorted_array,1335.000000000000,4.981343283582,64,0
64,mixed_read_heavy,8.0,prefix_sum,479.000000000000,1.787313432836,129,1
64,mixed_read_heavy,8.0,fenwick,268.000000000000,1.000000000000,129,6
64,mixed_read_heavy,8.0,sqrt_decomposition,484.000000000000,1.805970149254,72,1
64,mixed_read_heavy,8.0,segment_tree,293.000000000000,1.093283582090,128,6
