horizon,n,workload,implementation,operations,ns_per_operation,baseline_ns_per_operation,ratio_to_direct,checksum,baseline_checksum
5000,4096,stable_points,fast_unchecked,5000,9.8916,1.5666,6.55767700875,10144676,10144676
5000,4096,stable_points,fast_detached_data_plane,5000,4.7334,1.525,3.13831056889,10144676,10144676
5000,4096,stable_ranges,frozen_fenwick_checked,5000,7.3832,5.5082,1.33938181818,41083695800,41083695800
5000,4096,stable_ranges,frozen_fenwick_unchecked,5000,6.45,5.4666,1.17984927197,41083695800,41083695800
5000,4096,stable_ranges,static_fenwick_checked,5000,5.5666,5.4582,1.01535006994,41083695800,41083695800
5000,4096,stable_ranges,static_fenwick_unchecked,5000,5.525,5.4584,1.01528905877,41083695800,41083695800
5000,4096,stable_ranges,fast_checked,5000,16.2666,5.6166,2.72736473055,41083695800,41083695800
5000,4096,stable_ranges,fast_unchecked,5000,13.575,5.4832,2.43451586127,41083695800,41083695800
5000,4096,stable_ranges,fast_detached_data_plane,5000,9.9416,5.5832,1.78062759708,41083695800,41083695800
5000,4096,stable_updates,frozen_fenwick_checked,5000,10.55,8.3666,1.26096622284,0,0
5000,4096,stable_updates,frozen_fenwick_unchecked,5000,10.4,8.55,1.21700894173,0,0
5000,4096,stable_updates,static_fenwick_checked,5000,12.375,8.9332,1.11234726844,0,0
5000,4096,stable_updates,static_fenwick_unchecked,5000,8.4166,8.225,1.02786025337,0,0
5000,4096,stable_updates,fast_checked,5000,19.6668,8.35,2.3462994012,0,0
5000,4096,stable_updates,fast_unchecked,5000,18.8834,8.4,2.1636097561,0,0
5000,4096,stable_updates,fast_detached_data_plane,5000,13.825,8.5084,1.62486483945,0,0
5000,4096,range_to_update,frozen_fenwick_checked,5000,9.5334,6.8418,1.31769906254,20542014164,20542014164
5000,4096,range_to_update,frozen_fenwick_unchecked,5000,8.3666,6.85,1.18363150319,20542014164,20542014164
5000,4096,range_to_update,static_fenwick_checked,5000,7.3584,6.8584,1.0589759784,20542014164,20542014164
5000,4096,range_to_update,static_fenwick_unchecked,5000,7.5084,6.9832,1.08234047428,20542014164,20542014164
5000,4096,range_to_update,fast_checked,5000,16.4334,7.2584,2.29473684211,20542014164,20542014164
5000,4096,range_to_update,fast_unchecked,5000,16.375,7.6666,2.15273759334,20542014164,20542014164
5000,4096,range_to_update,fast_detached_data_plane,5000,11.475,7.1834,1.64151198658,20542014164,20542014164
5000,4096,update_to_range,frozen_fenwick_checked,5000,9.3584,6.8334,1.29816243595,8325066272,8325066272
5000,4096,update_to_range,frozen_fenwick_unchecked,5000,8.9834,6.9082,1.26234741229,8325066272,8325066272
5000,4096,update_to_range,static_fenwick_checked,5000,7.8582,6.9916,1.08244363636,8325066272,8325066272
5000,4096,update_to_range,static_fenwick_unchecked,5000,7.5666,6.9916,1.07702527076,8325066272,8325066272
5000,4096,update_to_range,fast_checked,5000,16.6334,6.8834,2.44057979624,8325066272,8325066272
5000,4096,update_to_range,fast_unchecked,5000,16.1334,7.1,2.30841250552,8325066272,8325066272
5000,4096,update_to_range,fast_detached_data_plane,5000,11.5416,6.8668,1.6736202799,8325066272,8325066272
5000,4096,alternating,frozen_fenwick_checked,5000,9.725,5.9166,1.49641897941,14573790443,14573790443
5000,4096,alternating,frozen_fenwick_unchecked,5000,15.2918,6.1418,1.68555597104,14573790443,14573790443
5000,4096,alternating,static_fenwick_checked,5000,7.6,6.2584,1.10094296379,14573790443,14573790443
5000,4096,alternating,static_fenwick_unchecked,5000,7.6334,6.4,1.1639,14573790443,14573790443
5000,4096,alternating,fast_checked,5000,16.0668,6.0416,2.64684634621,14573790443,14573790443
5000,4096,alternating,fast_unchecked,5000,15.6416,6.175,2.51006896552,14573790443,14573790443
5000,4096,alternating,fast_detached_data_plane,5000,11.4084,6.2084,1.82196443457,14573790443,14573790443
5000,4096,short_phases,frozen_fenwick_checked,5000,8.625,6.7084,1.28230299015,14711058262,14711058262
5000,4096,short_phases,frozen_fenwick_unchecked,5000,8.2916,6.6334,1.23435051166,14711058262,14711058262
5000,4096,short_phases,static_fenwick_checked,5000,9.1834,7.05,1.08721290208,14711058262,14711058262
5000,4096,short_phases,static_fenwick_unchecked,5000,7.1584,6.95,1.02998561151,14711058262,14711058262
5000,4096,short_phases,fast_checked,5000,19.6584,8,2.43695145535,14711058262,14711058262
5000,4096,short_phases,fast_unchecked,5000,19.1,9.2334,2.06857712219,14711058262,14711058262
5000,4096,short_phases,fast_detached_data_plane,5000,13.4666,7.9166,1.69511040606,14711058262,14711058262
5000,4096,read_mostly,frozen_fenwick_checked,5000,12,6.075,1.70819594112,27038439500,27038439500
5000,4096,read_mostly,frozen_fenwick_unchecked,5000,12.225,6.1416,1.67190536256,27038439500,27038439500
5000,4096,read_mostly,static_fenwick_checked,5000,14.5084,10.3168,1.38021969683,27038439500,27038439500
5000,4096,read_mostly,static_fenwick_unchecked,5000,9.1916,6.1084,1.19884497009,27038439500,27038439500
5000,4096,read_mostly,fast_checked,5000,19.3916,6.8082,2.98237398374,27038439500,27038439500
5000,4096,read_mostly,fast_unchecked,5000,17.0916,6.5082,2.62616391629,27038439500,27038439500
5000,4096,read_mostly,fast_detached_data_plane,5000,14.1834,9.4,1.50149246546,27038439500,27038439500
50000,16,stable_points,frozen_fenwick_checked,50000,2.74082,1.96666,1.41540436993,425000,425000
50000,16,stable_points,frozen_fenwick_unchecked,50000,2.03168,1.905,1.04855643045,425000,425000
50000,16,stable_points,static_fenwick_checked,50000,2.64668,2.5725,1.04814035088,425000,425000
50000,16,stable_points,static_fenwick_unchecked,50000,1.935,1.89166,1.009083078,425000,425000
50000,16,stable_points,fast_checked,50000,10.86918,1.8625,5.84364516129,425000,425000
50000,16,stable_points,fast_unchecked,50000,11.62666,1.82834,6.46926375983,425000,425000
50000,16,stable_points,fast_detached_data_plane,50000,8.44,1.85916,3.94725248097,425000,425000
50000,16,stable_ranges,frozen_fenwick_checked,50000,5.17,2.80584,1.9420779517,6675000,6675000
50000,16,stable_ranges,frozen_fenwick_unchecked,50000,3.87418,2.25666,1.63779441071,6675000,6675000
50000,16,stable_ranges,static_fenwick_checked,50000,2.68084,2.88668,0.995937549188,6675000,6675000
50000,16,stable_ranges,static_fenwick_unchecked,50000,2.84666,2.62832,1.03538042835,6675000,6675000
50000,16,stable_ranges,fast_checked,50000,16.05,2.6825,4.93134762349,6675000,6675000
50000,16,stable_ranges,fast_unchecked,50000,14.7325,2.54084,5.53423750596,6675000,6675000
50000,16,stable_ranges,fast_detached_data_plane,50000,5.66584,2.87918,2.04398474566,6675000,6675000
50000,16,stable_updates,frozen_fenwick_checked,50000,9.09916,8.05334,1.08770282321,0,0
50000,16,stable_updates,frozen_fenwick_unchecked,50000,8.67584,7.96334,1.08947250777,0,0
50000,16,stable_updates,static_fenwick_checked,50000,8.08418,7.95166,1.02742346939,0,0
50000,16,stable_updates,static_fenwick_unchecked,50000,8.23834,8.03084,1.05270999663,0,0
50000,16,stable_updates,fast_checked,50000,18.33582,11.7775,1.62264716162,0,0
50000,16,stable_updates,fast_unchecked,50000,15.26834,8.88334,1.87649029155,0,0
50000,16,stable_updates,fast_detached_data_plane,50000,10.48,9.66166,1.13716725845,0,0
50000,16,range_to_update,frozen_fenwick_checked,50000,6.50334,5.5975,1.10108798571,3337500,3337500
50000,16,range_to_update,frozen_fenwick_unchecked,50000,6.12666,6.86084,1.20110805279,3337500,3337500
50000,16,range_to_update,static_fenwick_checked,50000,5.9225,5.73584,0.996273825503,3337500,3337500
50000,16,range_to_update,static_fenwick_unchecked,50000,10.37084,22.33,0.505190953566,3337500,3337500
50000,16,range_to_update,fast_checked,50000,14.93332,7.66582,2.42867114617,3337500,3337500
50000,16,range_to_update,fast_unchecked,50000,13.13,5.675,2.25189408568,3337500,3337500
50000,16,range_to_update,fast_detached_data_plane,50000,8.53416,5.69166,1.51959633973,3337500,3337500
50000,16,update_to_range,frozen_fenwick_checked,50000,6.25418,5.63918,1.09782627971,-2037500,-2037500
50000,16,update_to_range,frozen_fenwick_unchecked,50000,6.585,5.765,1.08168817204,-2037500,-2037500
